ID SHARE,Trade Date
CRH.L,19/09/2024
FB,04/09/2024
FB,10/09/2024
FB,19/09/2024
DUKE,10/09/2024
ASML.AS,04/09/2024
ASML.AS,06/09/2024
ASML.AS,19/09/2024
ABBV,10/09/2024
ABBV,19/09/2024
ZTS,10/09/2024
EDF.PA,04/09/2024
EDF.PA,06/09/2024
EDF.PA,24/09/2024
CLS.SW,04/09/2024
CLS.SW,06/09/2024
CLS.SW,19/09/2024
ITCI,10/09/2024
ITCI,19/09/2024
BGB10Y.BE,04/09/2024
BGB10Y.BE,06/09/2024
BGB10Y.BE,24/09/2024
PNDORA.CO,19/09/2024
CRDA.L,04/09/2024
CRDA.L,06/09/2024
CRDA.L,11/09/2024
CRDA.L,19/09/2024
NN.AS,04/09/2024
NN.AS,06/09/2024
NN.AS,11/09/2024
NN.AS,19/09/2024
ARYN.SW,06/09/2024
ZAL.DE,04/09/2024
ZAL.DE,06/09/2024
ZAL.DE,11/09/2024
ZAL.DE,19/09/2024
UBS.SW,06/09/2024
UBS.SW,11/09/2024
BGB20Y.BE,04/09/2024
BGB20Y.BE,06/09/2024
GTT.PA,04/09/2024
GTT.PA,11/09/2024
GTT.PA,12/09/2024
VOW3.DE,06/09/2024
ADB.BR,25/09/2024
ROVI.MC,11/09/2024
RATO-B.ST,11/09/2024
POST.MI,04/09/2024
POST.MI,06/09/2024
POST.MI,24/09/2024
GOOGL,10/09/2024
GOOGL,19/09/2024
GOOG,04/09/2024
GOOG,10/09/2024
GOOG,19/09/2024
MTX.DE,04/09/2024
MTX.DE,06/09/2024
MTX.DE,11/09/2024
MTX.DE,19/09/2024
HAW.DE,11/09/2024
HAW.DE,12/09/2024
TKWY.AS,10/09/2024
TKWY.AS,04/09/2024
TKWY.AS,06/09/2024
TKWY.AS,11/09/2024
TKWY.AS,19/09/2024
EDP.LS,04/09/2024
EDP.LS,06/09/2024
EDP.LS,24/09/2024
WEED.TO,04/09/2024
WEED.TO,10/09/2024
WEED.TO,19/09/2024
REE.MC,04/09/2024
REE.MC,06/09/2024
REE.MC,11/09/2024
REE.MC,19/09/2024
GRVU.L,10/09/2024
GRVU.L,19/09/2024
SOLS.BR,04/09/2024
SOLS.BR,06/09/2024
SOLS.BR,11/09/2024
SOLS.BR,19/09/2024
SBH,10/09/2024
MONC.MI,04/09/2024
MONC.MI,06/09/2024
MONC.MI,24/09/2024
SFER.MI,04/09/2024
SFER.MI,06/09/2024
SFER.MI,19/09/2024
SPGB10Y.ES,04/09/2024
SPGB10Y.ES,06/09/2024
SPGB10Y.ES,23/09/2024
SPGB10Y.ES,24/09/2024
PSON.L,04/09/2024
PSON.L,06/09/2024
PSON.L,19/09/2024
DBR10Y.DE,23/09/2024
TYRES.HE,04/09/2024
TYRES.HE,06/09/2024
TYRES.HE,24/09/2024
AMGN,30/09/2024
AMGN,30/09/2024
BDEV.L,06/09/2024
VIRP.PA,04/09/2024
VIRP.PA,06/09/2024
VIRP.PA,23/09/2024
VIRP.PA,24/09/2024
BKNG,10/09/2024
BRDCY,10/09/2024
BRDCY,19/09/2024
SPGB5Y.ES,04/09/2024
SPGB5Y.ES,06/09/2024
SPGB5Y.ES,24/09/2024
EDP.LS,04/09/2024
EDP.LS,06/09/2024
ABDN.L,11/09/2024
ABDN.L,19/09/2024
CRH,10/09/2024
DBR15Y.DE,04/09/2024
DBR15Y.DE,06/09/2024
DBR15Y.DE,23/09/2024
BTPS10Y.IT,04/09/2024
BTPS10Y.IT,06/09/2024
BTPS10Y.IT,24/09/2024
ENELIM,13/09/2024
JDEP.AS,06/09/2024
JDEP.AS,11/09/2024
JDEP.AS,19/09/2024
BTPS5Y.IT,04/09/2024
BTPS5Y.IT,06/09/2024
BTPS5Y.IT,24/09/2024
RAGB10Y.AT,04/09/2024
RAGB10Y.AT,06/09/2024
RAGB10Y.AT,24/09/2024
SPGB30Y.ES,04/09/2024
SPGB30Y.ES,06/09/2024
SPGB30Y.ES,24/09/2024
SPGB20Y.ES,04/09/2024
SPGB20Y.ES,06/09/2024
SPGB20Y.ES,24/09/2024
DBR30Y.DE,04/09/2024
DBR30Y.DE,06/09/2024
OATE30Y.FR,04/09/2024
OATE30Y.FR,06/09/2024
OATE30Y.FR,23/09/2024
OATE30Y.FR,24/09/2024
DSM1V.HE,04/09/2024
VACF.AS,04/09/2024
VACF.AS,06/09/2024
VACF.AS,24/09/2024
SPGB15Y.ES,04/09/2024
SPGB15Y.ES,06/09/2024
SPGB15Y.ES,24/09/2024
DBR5Y.DE,04/09/2024
DBR5Y.DE,06/09/2024
DBR5Y.DE,23/09/2024
SGRO.L,04/09/2024
SGRO.L,06/09/2024
SGRO.L,11/09/2024
SGRO.L,19/09/2024
PRX.AS,06/09/2024
PRX.AS,11/09/2024
PRX.AS,19/09/2024
BTPS15Y.IT,04/09/2024
BTPS15Y.IT,06/09/2024
BTPS15Y.IT,24/09/2024
GE,10/09/2024
DBR20Y.DE,04/09/2024
DBR20Y.DE,06/09/2024
DBR20Y.DE,24/09/2024
SQ.SW,11/09/2024
SINCH.ST,04/09/2024
SINCH.ST,06/09/2024
SINCH.ST,19/09/2024
VIE.PA,04/09/2024
VIE.PA,06/09/2024
VIE.PA,11/09/2024
VIE.PA,19/09/2024
BATS.L,11/09/2024
COP.L,11/09/2024
COP.L,19/09/2024
ENIIM,19/09/2024
BTPS20Y.IT,04/09/2024
BTPS20Y.IT,06/09/2024
BTPS20Y.IT,24/09/2024
LIN,04/09/2024
LIN,06/09/2024
LIN,24/09/2024
SCMN.SW,04/09/2024
SCMN.SW,06/09/2024
SCMN.SW,11/09/2024
SCMN.SW,19/09/2024
LEN-B,10/09/2024
TBPH,10/09/2024
NOVO-B.CO,04/09/2024
NOVO-B.CO,06/09/2024
NOVO-B.CO,11/09/2024
NOVO-B.CO,19/09/2024
BNR.DE,04/09/2024
BNR.DE,06/09/2024
BNR.DE,23/09/2024
BNR.DE,24/09/2024
GILD,10/09/2024
BTPS30Y.IT,26/09/2024
EADS.PA,26/09/2024
AMZN,27/09/2024
MSFT,18/09/2024
MSFT,26/09/2024
BTPS1Y.IT,04/09/2024
BTPS1Y.IT,06/09/2024
CME,10/09/2024
INTC,10/09/2024
VISA,10/09/2024
VISA,19/09/2024
NESN.SW,04/09/2024
NESN.SW,06/09/2024
NESN.SW,11/09/2024
NESN.SW,19/09/2024
CSGN.SW,10/09/2024
PSN.L,04/09/2024
PSN.L,06/09/2024
PSN.L,19/09/2024
EOAN.DE,06/09/2024
EOAN.DE,11/09/2024
EOAN.DE,19/09/2024
STM.PA,11/09/2024
SPGB1Y.ES,04/09/2024
SPGB1Y.ES,06/09/2024
SPGB1Y.ES,23/09/2024
SPGB1Y.ES,24/09/2024
SHW,10/09/2024
MRK,04/09/2024
MRK,10/09/2024
MRK,19/09/2024
TTE.PA,25/09/2024
ITW,20/09/2024
NKE,03/09/2024
BAC,06/09/2024
NKTR,05/09/2024
KO,13/09/2024
RSG,10/09/2024
QCOM,05/09/2024
SEE,13/09/2024
UNH,16/09/2024
THRY,13/09/2024
NVDA,12/09/2024
BK,19/09/2024
CNR.TO,06/09/2024
BOL.PA,03/09/2024
BTP1Y.IT,15/09/2024
AGN.AS,12/09/2024
MOSY,13/09/2024
HCP,16/09/2024
AZN,01/09/2024
JGB10Y.JP,20/09/2024
JGB5Y.JP,20/09/2024
FB,16/09/2024
T,15/09/2024
JGB30Y.JP,20/09/2024
CLS.SW,19/09/2024
BHC,30/09/2024
ITCI,16/09/2024
UPS,01/09/2024
VZ,15/09/2024
MRK,15/09/2024
WFC,29/09/2024
GOOGL,09/09/2024
GOOG,09/09/2024
XOM,01/09/2024
JGB20Y.JP,20/09/2024
DUK,01/09/2024
GRVU.L,25/09/2024
HSBC,15/09/2024
CSCO,20/09/2024
GILD,01/09/2024
MONC.MI,01/09/2024
CAP,09/09/2024
TYRES.HE,15/09/2024
NU.TO,27/09/2024
BKNG,06/09/2024
BRDCY,19/09/2024
ABDN.L,19/09/2024
MITSU,07/09/2024
CITI,20/09/2024
TC.TO,27/09/2024
PSEG,01/09/2024
NSC,01/09/2024
ENELIM,13/09/2024
GOVT,30/09/2024
BTPS5Y.IT,01/09/2024
KMB,01/09/2024
DIS,24/09/2024
IEF,30/09/2024
PLTR,15/09/2024
MTN,01/09/2024
BP,15/09/2024
SHELL,23/09/2024
BTPS3Y.IT,01/09/2024
DHR,24/09/2024
PRX.AS,02/09/2024
GE,26/09/2024
BAC,15/09/2024
CSCO,15/09/2024
CADUSD,01/09/2024
UBSN.SW,28/09/2024
SIEMENS,06/09/2024
VW,05/09/2024
INTC,07/09/2024
AEM.TO,13/09/2024
ABBV,13/09/2024
CAIXABANK,14/09/2024
RDSB.L,19/09/2024
ENIIM,19/09/2024
RENAULT,22/09/2024
OATE10Y.FR,27/09/2024
IEI,30/09/2024
GLEN.L,13/09/2024
IMB.L,13/09/2024
RR.L,13/09/2024
BTPS20Y.IT,01/09/2024
