ID SHARE,Trade Date,Open,Close,High,Low
GLE.PA,04/09/2024,21.1,21.48,21.52,21.08
GLE.PA,06/09/2024,21.95,21.83,22.23,21.69
GLE.PA,11/09/2024,22.01,21.79,22.36,21.55
GLE.PA,19/09/2024,22.9,22.89,23.06,22.8
DB1.DE,04/09/2024,202.8,203.7,204.9,201.9
DB1.DE,06/09/2024,203.0,206.0,206.9,202.5
DB1.DE,19/09/2024,205.1,205.1,205.8,200.8
AI.PA,11/09/2024,169.5,169.12,170.9,168.52
VZ,10/09/2024,41.4,42.23,42.27,41.0
VZ,19/09/2024,42.53,42.51,42.54,41.92
ASM.AS,11/09/2024,539.6,543.4,555.0,538.8
COST,10/09/2024,890.43,892.12,898.5,885.36
QCOM,10/09/2024,159.17,160.84,161.22,156.86
PEP,10/09/2024,177.14,176.31,177.59,176.14
JPM,10/09/2024,216.15,203.26,216.19,198.36
EL.PA,04/09/2024,212.6,213.7,215.5,212.6
EL.PA,06/09/2024,209.0,208.8,211.6,207.6
EL.PA,11/09/2024,210.2,209.3,210.9,209.0
EL.PA,19/09/2024,207.9,208.3,208.5,206.0
ADI,10/09/2024,216.58,217.8,218.11,213.22
ADI,19/09/2024,229.03,232.47,234.77,226.91
KMB,10/09/2024,145.88,144.96,147.01,144.7
KMB,19/09/2024,139.61,138.86,140.26,138.73
SAN.PA,06/09/2024,104.38,104.54,105.74,104.34
SAN.PA,11/09/2024,104.7,104.56,105.6,104.52
SAN.PA,19/09/2024,104.72,104.12,104.74,103.48
BMW.DE,06/09/2024,80.14,78.2,80.16,77.96
BMW.DE,19/09/2024,76.3,76.14,77.46,75.92
AMP.MI,06/09/2024,28.06,27.99,28.3,27.91
AMP.MI,11/09/2024,27.82,27.37,27.82,27.21
AMP.MI,19/09/2024,27.08,26.99,27.3,26.76
MRVL,10/09/2024,68.47,71.5,71.77,68.39
SEE,10/09/2024,32.97,32.65,33.04,32.38
YAR.OL,06/09/2024,299.0,295.2,300.8,295.2
YAR.OL,12/09/2024,301.4,297.8,302.7,295.7
YAR.OL,19/09/2024,314.8,325.9,325.9,314.8
BRK-B,10/09/2024,461.82,458.92,464.32,456.21
ZURN.SW,11/09/2024,499.0,500.8,503.8,496.2
NOVN.SW,04/09/2024,100.32,100.92,101.14,100.12
NOVN.SW,06/09/2024,98.11,98.6,99.67,97.6
NOVN.SW,11/09/2024,97.1,97.47,97.9,95.75
NOVN.SW,19/09/2024,98.73,98.44,98.89,98.19
MAERSK-B.CO,06/09/2024,9800.0,9698.0,9834.0,9640.0
MAERSK-B.CO,11/09/2024,9582.0,9900.0,9938.0,9576.0
MAERSK-B.CO,19/09/2024,10825.0,10745.0,10880.0,10680.0
UNH,04/09/2024,595.6,599.74,603.48,593.49
UNH,10/09/2024,590.84,594.63,600.36,586.81
UNH,19/09/2024,581.49,574.87,582.6,572.38
LOW,10/09/2024,242.38,245.26,246.25,240.53
LOW,19/09/2024,258.66,258.77,260.04,257.33
THRY,04/09/2024,18.11,18.06,18.28,17.95
THRY,10/09/2024,17.28,17.19,17.31,17.01
THRY,19/09/2024,18.75,18.84,18.93,18.55
NVDA,04/09/2024,105.39,106.19,113.25,104.1
NVDA,10/09/2024,107.79,108.08,109.38,104.93
NVDA,19/09/2024,117.34,117.86,119.65,117.24
BK,10/09/2024,67.15,66.73,67.15,65.27
KEY,10/09/2024,16.02,15.71,16.02,15.5
PRU,10/09/2024,112.68,112.14,112.68,110.27
PRU,19/09/2024,119.01,119.11,119.49,117.6
WFC,04/09/2024,57.87,57.5,58.37,57.11
WFC,10/09/2024,55.41,53.38,55.5,52.81
WFC,19/09/2024,54.43,55.21,55.42,54.07
SAF.PA,06/09/2024,192.65,192.35,196.5,191.7
SAF.PA,19/09/2024,204.0,209.0,209.4,203.3
UHR.SW,04/09/2024,172.5,168.6,173.0,167.5
UHR.SW,06/09/2024,166.95,163.65,167.0,163.65
UHR.SW,19/09/2024,160.0,157.3,161.5,157.25
BARC.L,04/09/2024,219.3,223.7,224.45,219.1
BARC.L,06/09/2024,227.2,220.85,227.7,220.35
BARC.L,11/09/2024,218.65,215.15,220.46,213.9
BARC.L,19/09/2024,227.0,227.65,227.65,224.7
BURBY,11/09/2024,7.72,7.69,7.72,7.55
CON,10/09/2024,23.08,22.78,23.26,22.06
CON,19/09/2024,23.52,22.8,23.52,22.79
CARL-B.CO,11/09/2024,763.8,777.4,779.0,761.8
CARL-B.CO,19/09/2024,792.0,788.6,798.2,787.6
CPRT,04/09/2024,53.5,53.05,54.02,52.93
CPRT,10/09/2024,49.42,49.51,49.6,48.74
CPRT,19/09/2024,51.86,51.8,52.12,51.37
GIVN.SW,11/09/2024,4491.0,4527.0,4563.0,4465.0
BOL.PA,11/09/2024,5.62,5.61,5.68,5.58
BOL.PA,12/09/2024,5.66,5.7,5.72,5.6
KGF.L,04/09/2024,273.27,272.68,276.4,271.0
KGF.L,06/09/2024,273.97,271.69,274.36,270.31
KGF.L,11/09/2024,272.09,272.68,273.97,270.11
KGF.L,19/09/2024,326.82,327.81,329.49,323.27
HEIA.AS,06/09/2024,82.4,81.08,83.12,81.08
HEIA.AS,11/09/2024,81.8,82.36,82.56,81.76
HEIA.AS,19/09/2024,81.08,81.06,81.4,80.64
RHM.DE,11/09/2024,512.2,510.2,513.6,504.8
VOLV-B.ST,06/09/2024,256.8,254.7,259.1,254.2
VOLV-B.ST,19/09/2024,263.5,264.8,265.8,260.0
GDS.PA,04/09/2024,15.95,15.85,15.95,15.85
GDS.PA,06/09/2024,15.8,15.0,15.8,15.0
GDS.PA,24/09/2024,14.55,14.55,14.55,14.45
CGM.PA,06/09/2024,12.85,12.5,12.9,12.5
CGM.PA,19/09/2024,12.6,12.5,12.6,12.4
INTU,10/09/2024,628.51,631.51,631.64,618.79
LGEN.L,04/09/2024,220.1,224.2,224.2,220.0
LGEN.L,06/09/2024,226.8,225.1,228.2,224.72
LGEN.L,19/09/2024,224.1,224.8,226.4,223.2
MAB.L,04/09/2024,280.0,285.0,287.41,278.5
MAB.L,06/09/2024,280.0,284.0,288.5,280.0
MAB.L,11/09/2024,286.5,288.5,293.08,286.5
MAB.L,19/09/2024,297.0,296.0,298.57,293.5
UNA.AS,04/09/2024,58.21,58.39,58.45,58.09
UNA.AS,06/09/2024,58.23,58.61,58.73,58.07
UNA.AS,19/09/2024,57.76,57.3,57.88,57.24
MA,10/09/2024,485.74,486.65,486.96,480.98
DSV.CO,06/09/2024,1224.5,1236.0,1256.0,1189.5
DSV.CO,19/09/2024,1397.5,1377.5,1407.0,1365.0
NEE,10/09/2024,80.93,81.75,81.84,80.51
TSLA,10/09/2024,220.07,226.17,226.4,218.64
BAS.DE,06/09/2024,44.6,43.42,44.7,43.42
BAS.DE,19/09/2024,46.19,46.8,46.85,45.88
AGN.AS,10/09/2024,5.46,5.37,5.49,5.35
KMPR,04/09/2024,63.0,61.74,63.15,61.54
KMPR,19/09/2024,60.45,59.8,60.45,59.45
HCP,10/09/2024,33.8,33.86,33.88,33.72
CRH.L,04/09/2024,6608.98,6483.53,6656.77,6477.56
CRH.L,06/09/2024,6352.11,6397.91,6575.13,6318.26
CRH.L,11/09/2024,6491.5,6401.89,6547.25,6318.26
CRH.L,19/09/2024,6832.0,6943.51,6983.34,6828.02
ASML.AS,04/09/2024,728.92,733.1,744.85,720.16
ASML.AS,06/09/2024,712.2,677.95,719.86,675.66
ASML.AS,19/09/2024,717.77,744.55,746.64,716.08
ABBV,10/09/2024,192.75,195.92,196.04,189.59
ABBV,19/09/2024,190.1,190.29,190.82,188.66
ZTS,10/09/2024,190.7,190.33,191.73,186.81
ITCI,10/09/2024,74.8,73.56,75.16,73.22
ITCI,19/09/2024,75.12,76.97,77.18,74.61
PNDORA.CO,19/09/2024,1162.5,1174.5,1179.5,1157.0
CRDA.L,04/09/2024,3903.88,3894.0,3926.61,3872.94
CRDA.L,06/09/2024,3867.0,3868.0,3885.0,3842.0
CRDA.L,11/09/2024,3889.0,3909.0,3927.5,3871.0
CRDA.L,19/09/2024,4070.0,4065.0,4104.0,4038.0
NN.AS,04/09/2024,43.56,44.3,44.53,43.55
NN.AS,06/09/2024,44.56,44.89,45.33,44.47
NN.AS,11/09/2024,44.38,44.55,44.83,44.35
NN.AS,19/09/2024,44.52,44.96,44.98,44.38
ARYN.SW,06/09/2024,1.67,1.65,1.69,1.65
ZAL.DE,04/09/2024,22.5,22.66,22.76,22.35
ZAL.DE,06/09/2024,22.49,22.15,22.52,22.01
ZAL.DE,11/09/2024,21.73,21.32,21.73,21.07
ZAL.DE,19/09/2024,26.8,26.65,27.11,26.5
GTT.PA,04/09/2024,122.34,122.34,123.31,120.2
GTT.PA,11/09/2024,117.28,120.69,120.69,117.18
GTT.PA,12/09/2024,122.73,123.51,123.51,121.37
VOW3.DE,06/09/2024,94.94,92.0,95.0,91.38
ROVI.MC,11/09/2024,76.45,75.1,76.45,74.6
RATO-B.ST,11/09/2024,33.7,33.46,34.32,33.46
GOOGL,10/09/2024,150.28,148.49,151.1,148.17
GOOGL,19/09/2024,163.52,161.95,163.6,161.16
GOOG,04/09/2024,157.69,157.42,160.01,157.05
GOOG,10/09/2024,151.28,149.84,152.13,149.37
GOOG,19/09/2024,164.63,163.06,164.8,162.34
MTX.DE,04/09/2024,261.4,267.1,267.1,260.1
MTX.DE,06/09/2024,264.8,267.5,273.4,264.7
MTX.DE,11/09/2024,274.3,272.9,275.3,270.4
MTX.DE,19/09/2024,271.4,276.3,278.0,270.0
HAW.DE,11/09/2024,25.5,25.8,25.8,25.5
HAW.DE,12/09/2024,26.1,26.0,26.8,26.0
TKWY.AS,10/09/2024,12.4,12.12,12.5,12.08
TKWY.AS,04/09/2024,12.7,12.62,12.81,12.42
TKWY.AS,06/09/2024,12.7,12.4,12.75,12.4
TKWY.AS,11/09/2024,12.18,12.21,12.43,12.13
TKWY.AS,19/09/2024,12.95,12.9,13.03,12.84
EDP.LS,04/09/2024,3.78,3.87,3.87,3.77
EDP.LS,06/09/2024,3.98,4.03,4.03,3.95
EDP.LS,24/09/2024,4.03,4.03,4.06,3.99
WEED.TO,04/09/2024,6.7,6.61,6.93,6.57
WEED.TO,10/09/2024,6.65,6.58,6.69,6.32
